metric,effect,F Value,Num DF,Den DF,Pr > F,n_subjects,pes
estimated_duration_s,session_type,12.199746741628545,2.0,44.0,6.092498039267668e-05,23,0.35672038257461114
estimated_duration_s,n_pictures,42.97387133455939,2.0,44.0,4.498281276912491e-11,23,0.6614023522360399
estimated_duration_s,session_type:n_pictures,1.2525242195298276,4.0,88.0,0.2948204034036034,23,0.05386616126940019
estimation_ratio,session_type,18.793557277817424,2.0,44.0,1.2597496767845822e-06,23,0.4606991528056053
estimation_ratio,n_pictures,9.05312818317419,2.0,44.0,0.0005093087596113992,23,0.291536753713577
estimation_ratio,session_type:n_pictures,0.17677014233922173,4.0,88.0,0.9498149867284411,23,0.007970959756747331
accuracy,session_type,15.794376098418214,2.0,44.0,6.759288870394649e-06,23,0.4179028132992318
accuracy,n_pictures,4.178596739900761,2.0,44.0,0.021801129143741316,23,0.1596188207266224
accuracy,session_type:n_pictures,0.7031346035648363,4.0,88.0,0.59187937083809,23,0.03097081596188177
variability_sd_s,session_type,4.386833780610122,2.0,42.0,0.018613406411116317,22,0.17279956289628698
variability_sd_s,n_pictures,12.09535829843527,2.0,42.0,7.103892120341277e-05,22,0.3654699305372721
variability_sd_s,session_type:n_pictures,0.29856608916413363,4.0,84.0,0.8781197000577825,22,0.014018130981880149
