metric,n_subjects,effect,F Value,Num DF,Den DF,Pr > F,partial_eta_sq
estimated_duration_s,23,session_type,12.199746741628545,2.0,44.0,6.092498039267668e-05,0.35672038257461114
estimated_duration_s,23,n_pictures,42.97387133455939,2.0,44.0,4.498281276912491e-11,0.6614023522360399
estimated_duration_s,23,session_type:n_pictures,1.2525242195298276,4.0,88.0,0.2948204034036034,0.05386616126940019
estimate_plus_gap_s,23,session_type,0.5817891360451956,2.0,44.0,0.5631386402867293,0.025763642222508404
estimate_plus_gap_s,23,n_pictures,67.42357708423627,2.0,44.0,3.993504098801146e-14,0.7539798706634585
estimate_plus_gap_s,23,session_type:n_pictures,0.5099057050025657,4.0,88.0,0.7285699342268666,0.02265250293293077
raw_ratio_total_actual,23,session_type,18.79355725258233,2.0,44.0,1.2597496939289054e-06,0.46069915247199117
raw_ratio_total_actual,23,n_pictures,9.053128187854083,2.0,44.0,0.0005093087579227698,0.29153675382034666
raw_ratio_total_actual,23,session_type:n_pictures,0.17677014281495318,4.0,88.0,0.9498149864903668,0.007970959778028133
gap_removed_ratio,23,session_type,0.8936468244412423,2.0,44.0,0.41645630859959537,0.0390347082443495
gap_removed_ratio,23,n_pictures,9.020079991675658,2.0,44.0,0.0005213806190209561,0.29078197071368694
gap_removed_ratio,23,session_type:n_pictures,0.20112863808998016,4.0,88.0,0.9371156635831315,0.009059387987370528
estimate_plus_gap_ratio,23,session_type,1.9283271486674978,2.0,44.0,0.15748077653469983,0.08058762890889683
estimate_plus_gap_ratio,23,n_pictures,11.218617554605716,2.0,44.0,0.00011558587793404148,0.33772078371907654
estimate_plus_gap_ratio,23,session_type:n_pictures,0.22755382402247923,4.0,88.0,0.9222884381879077,0.010237465886891697
