window,effect,F,ddof1,ddof2,p_unc,partial_eta2,gen_eta2,GG_epsilon,p_GG,sphericity_W,sphericity_p
N1,condition,19.142737815442256,1,21,0.00026488732346173033,0.47686677235249153,0.010804006733324469,1.0,0.00026488732346173033,,
N1,repetition,1.2163265450372767,3,63,0.31115786483408203,0.05474921979434903,0.0017457373347338977,0.7888084889561732,0.30932920410191683,0.6926141026424036,0.2036375618908331
N1,condition * repetition,1.293219435823505,3,63,0.2845354223107376,0.05800954140097862,0.0013284229718793239,0.8606961199691542,0.2856670107595452,0.6926141026424036,0.2036375618908331
P2,condition,14.051824702777276,1,21,0.0011832860020261238,0.40088710992737286,0.005316521685227922,1.0,0.0011832860020261238,,
P2,repetition,3.4065510878616037,3,63,0.022862987870197582,0.13957527532662425,0.004137799515426612,0.7222293158619205,0.0383425428033764,0.5705921211446187,0.05035927964402029
P2,condition * repetition,0.5873536198355546,3,63,0.6255368023092425,0.02720822710273594,0.000501692017388579,0.8012503567534586,0.5897060105249751,0.5705921211446187,0.05035927964402029
P3,condition,10.046345427937068,1,21,0.0046177301422300815,0.32359188463118943,0.007915803620600554,1.0,0.0046177301422300815,,
P3,repetition,6.4237883871994805,3,63,0.0007258807088358879,0.23424146571222426,0.011609283935253034,0.6984338472589285,0.003148768793123308,0.5226896622770504,0.02555365998026545
P3,condition * repetition,1.0008816340274986,3,63,0.3984085127567237,0.045492796637726214,0.002200105095065937,0.6517233315680984,0.37478590281308727,0.5226896622770504,0.02555365998026545
