condition,cluster,window,n,mean_amp_uv
active,occipital,P1,152,-6.4524
passive,occipital,P1,153,-8.5592
constant,occipital,P1,12,-9.1854
active,occipital,N1,152,4.1457
passive,occipital,N1,153,3.6219
constant,occipital,N1,12,-0.3177
active,occipital,P2,152,8.7609
passive,occipital,P2,153,9.4595
constant,occipital,P2,12,8.4004
active,occipital,P3,152,2.5431
passive,occipital,P3,153,2.3133
constant,occipital,P3,12,1.3089
active,occipital,Late,152,-1.003
passive,occipital,Late,153,0.4898
constant,occipital,Late,12,-0.3367
active,posterior,P1,152,-2.5926
passive,posterior,P1,153,-4.7239
constant,posterior,P1,12,-4.4477
active,posterior,N1,152,-0.4232
passive,posterior,N1,153,-0.638
constant,posterior,N1,12,-1.5733
active,posterior,P2,152,4.1263
passive,posterior,P2,153,4.787
constant,posterior,P2,12,4.288
active,posterior,P3,152,0.5307
passive,posterior,P3,153,0.2909
constant,posterior,P3,12,-0.0369
active,posterior,Late,152,-2.6226
passive,posterior,Late,153,-1.2829
constant,posterior,Late,12,-1.9457
active,parietal,P1,152,-3.1494
passive,parietal,P1,153,-4.6251
constant,parietal,P1,12,-3.5499
active,parietal,N1,152,-5.6924
passive,parietal,N1,153,-6.8034
constant,parietal,N1,12,-3.3711
active,parietal,P2,152,-5.2801
passive,parietal,P2,153,-5.414
constant,parietal,P2,12,-1.9345
active,parietal,P3,152,-7.6433
passive,parietal,P3,153,-8.5399
constant,parietal,P3,12,-6.3252
active,parietal,Late,152,-9.1569
passive,parietal,Late,153,-7.8221
constant,parietal,Late,12,-8.7485
active,frontal,P1,152,-2.1589
passive,frontal,P1,153,-0.6768
constant,frontal,P1,12,1.6574
active,frontal,N1,152,-6.7032
passive,frontal,N1,153,-7.6686
constant,frontal,N1,12,-4.9672
active,frontal,P2,152,-9.824
passive,frontal,P2,153,-10.079
constant,frontal,P2,12,-5.5757
active,frontal,P3,152,-13.7451
passive,frontal,P3,153,-13.3116
constant,frontal,P3,12,-10.8212
active,frontal,Late,152,-12.8425
passive,frontal,Late,153,-10.0955
constant,frontal,Late,12,-13.7568
